hybas_id,month,sub_area_km2,sink_mm_day,convergence_kg_s,sink_rate_kg_s,sink_total_m3,ivt_magnitude_kg_ms,ivt_direction_deg,evap_mm_day,precip_mm_day
6060000200,202301,35995.5,7.072,7.701358756108792e-05,8.185131167534988e-05,0.22,81.4,205.8,-0.016,-0.01
6060000240,202301,2186.3,-1.862,-2.8201429578926294e-05,-2.155305450813335e-05,-0.06,116.2,209.0,-0.02,-0.002
6060000250,202301,6533.8,-4.186,-5.326550238313456e-05,-4.844392315183589e-05,-0.13,108.0,220.6,-0.012,0.0
6060000450,202301,14065.1,1.996,1.771225299945957e-05,2.310145538114963e-05,0.06,89.2,204.3,-0.01,-0.006
6060000460,202301,2753.9,0.248,-9.464039917915099e-07,2.8723829927695107e-06,0.01,101.0,192.2,-0.008,0.0
6060000580,202301,3202.3,-0.819,-1.4748340159683487e-05,-9.481991709981013e-06,-0.03,109.5,195.8,-0.007,0.0
6060000740,202301,17944.3,0.456,1.0736647381338939e-06,5.277822811818972e-06,0.01,100.1,180.1,-0.007,-0.0
6060068100,202301,17105.5,-1.468,-2.1521588358782097e-05,-1.6993174608417312e-05,-0.05,87.1,197.5,-0.012,-0.001
6060070270,202301,1690.4,0.624,4.176070004612322e-06,7.221159502970431e-06,0.02,109.0,183.8,-0.011,0.0
6060070390,202301,3593.1,7.969,9.025004832948517e-05,9.223027129585137e-05,0.25,88.2,201.2,-0.014,0.001
6060070330,202301,1733.0,-23.349,-0.00027281280246473126,-0.0002702400587686073,-0.72,101.0,188.3,-0.014,0.0
6060069460,202301,25043.0,0.01,-3.0326228756305886e-06,1.1485130848542376e-07,0.0,71.1,201.8,-0.014,0.0
6060069430,202301,22211.6,0.949,7.647623950714983e-06,1.0988205433883684e-05,0.03,84.9,181.5,-0.009,-0.001
6060078120,202301,14722.9,2.6,2.6071590574639642e-05,3.0092694737236387e-05,0.08,61.7,204.9,-0.016,0.0
6060078150,202301,13446.2,5.218,5.581377444462804e-05,6.038922423549146e-05,0.16,56.2,178.2,-0.017,-0.003
6060089660,202301,22559.0,3.014,3.2514553775935116e-05,3.488869899718957e-05,0.09,34.0,179.7,-0.015,0.002
6060089740,202301,5701.7,-0.941,-1.258685463859189e-05,-1.0893539377580547e-05,-0.03,51.6,256.2,-0.011,0.001
6060094950,202301,5889.0,1.016,8.111472340950118e-06,1.1761284786368497e-05,0.03,87.7,206.5,-0.01,-0.0
6060094960,202301,6646.4,3.058,3.227044738108112e-05,3.5398854131909395e-05,0.09,53.4,174.7,-0.016,-0.002
6060102120,202301,21528.0,1.176,1.0428744462521696e-05,1.3613351556998143e-05,0.04,68.8,186.1,-0.011,0.001
6060102080,202301,5688.2,5.087,5.4591344862838894e-05,5.8876768564363346e-05,0.16,73.4,202.3,-0.013,-0.002
